TABLE NUMBER AND CONTENTS,DATA DICTIONARY REFERENCE NAME,SEGMENT,MAX SIZE,DATA TYPE,NOTES
File Identification,FILEID,01,6,A/N,
State/US-Abbreviation (USPS),STUSAB,01,2,A,
Characteristic Iteration,CHARITER,01,3,A/N,
Characteristic Iteration File Sequence Number,CIFSN,01,2,A/N,
Logical Record Number,LOGRECNO,01,7,N,
Total:,P0010001,01,9,N,P1. RACE [71]
Population of one race:,P0010002,01,9,N,Universe: Total population
White alone,P0010003,01,9,N,
Black or African American alone,P0010004,01,9,N,
American Indian and Alaska Native alone,P0010005,01,9,N,
Asian alone,P0010006,01,9,N,
Native Hawaiian and Other Pacific Islander alone,P0010007,01,9,N,
Some Other Race alone,P0010008,01,9,N,
Population of two or more races:,P0010009,01,9,N,
Population of two races:,P0010010,01,9,N,
White; Black or African American,P0010011,01,9,N,
White; American Indian and Alaska Native,P0010012,01,9,N,
White; Asian,P0010013,01,9,N,
White; Native Hawaiian and Other Pacific Islander,P0010014,01,9,N,
White; Some Other Race,P0010015,01,9,N,
Black or African American; American Indian and Alaska Native,P0010016,01,9,N,
Black or African American; Asian,P0010017,01,9,N,
Black or African American; Native Hawaiian and Other Pacific Islander,P0010018,01,9,N,
Black or African American; Some Other Race,P0010019,01,9,N,
American Indian and Alaska Native; Asian,P0010020,01,9,N,
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010021,01,9,N,
American Indian and Alaska Native; Some Other Race,P0010022,01,9,N,
Asian; Native Hawaiian and Other Pacific Islander,P0010023,01,9,N,
Asian; Some Other Race,P0010024,01,9,N,
Native Hawaiian and Other Pacific Islander; Some Other Race,P0010025,01,9,N,
Population of three races:,P0010026,01,9,N,
White; Black or African American; American Indian and Alaska Native,P0010027,01,9,N,
White; Black or African American; Asian,P0010028,01,9,N,
White; Black or African American; Native Hawaiian and Other Pacific Islander,P0010029,01,9,N,
White; Black or African American; Some Other Race,P0010030,01,9,N,
White; American Indian and Alaska Native; Asian,P0010031,01,9,N,
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010032,01,9,N,
White; American Indian and Alaska Native; Some Other Race,P0010033,01,9,N,
White; Asian; Native Hawaiian and Other Pacific Islander,P0010034,01,9,N,
White; Asian; Some Other Race,P0010035,01,9,N,
White; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010036,01,9,N,
Black or African American; American Indian and Alaska Native; Asian,P0010037,01,9,N,
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010038,01,9,N,
Black or African American; American Indian and Alaska Native; Some Other Race,P0010039,01,9,N,
Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0010040,01,9,N,
Black or African American; Asian; Some Other Race,P0010041,01,9,N,
Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010042,01,9,N,
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010043,01,9,N,
American Indian and Alaska Native; Asian; Some Other Race,P0010044,01,9,N,
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010045,01,9,N,
Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010046,01,9,N,
Population of four races:,P0010047,01,9,N,
White; Black or African American; American Indian and Alaska Native; Asian,P0010048,01,9,N,
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010049,01,9,N,
White; Black or African American; American Indian and Alaska Native; Some Other Race,P0010050,01,9,N,
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0010051,01,9,N,
White; Black or African American; Asian; Some Other Race,P0010052,01,9,N,
White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010053,01,9,N,
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010054,01,9,N,
White; American Indian and Alaska Native; Asian; Some Other Race,P0010055,01,9,N,
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010056,01,9,N,
White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010057,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010058,01,9,N,
Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P0010059,01,9,N,
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010060,01,9,N,
Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010061,01,9,N,
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P0010062,01,9,N,
Population of five races:,P0010063,01,9,N,
